                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.0027,                 1.7132,                 1.2055,                0.78242,                0.60073,                0.60653,                0.34332,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.1736,                 1.8496,                 1.4203,                0.77288,                0.28813,                0.49574,                0.20577,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0521,                 1.7503,                 1.3067,                0.77288,                0.28813,                0.49574,                0.20577,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.96845,                 1.6244,                  1.255,                0.72571,                   0.25,                0.38586,                 0.1399,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0472,                 1.7139,                 1.3239,                 0.0025,                   0.75,                0.14297,                0.02915,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0494,                 1.7734,                  1.367,                0.39777,                    0.5,                0.44634,                0.12631,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0232,                  1.617,                 1.3156,                0.39777,                    0.5,                0.44634,                0.12631,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0021,                 1.6545,                 1.2795,                0.00222,                0.66667,                0.13375,                0.02876,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0796,                 1.6233,                 1.3166,                0.73591,                0.58333,                0.64554,                0.34585,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.94512,                 1.4377,                 1.2435,                0.52226,                0.58333,                0.54122,                0.34418,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 0.9866,                 1.6934,                 1.2557,                0.52226,                0.58333,                0.54122,                0.34418,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.1577,                 1.8394,                 1.4095,                0.40897,                0.57699,                0.51681,                0.34499,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0193,                 1.5085,                 1.2208,                0.30049,                    0.5,                0.47726,                 0.3256,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99714,                 1.4957,                 1.2966,                0.32321,                    0.5,                0.51424,                0.34595,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.0951,                 1.7078,                 1.3251,                0.32321,                    0.5,                0.51424,                0.34595,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.96029,                 1.4641,                 1.2311,                0.63355,                0.33333,                0.48465,                0.33516,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.0107,                 1.4947,                 1.2669,                 0.7135,                0.33333,                0.45915,                0.31056,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.99982,                 1.5187,                 1.2718,                0.42048,                   0.75,                 0.4948,                0.41553,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.0214,                 1.4671,                 1.2931,                0.42048,                   0.75,                 0.4948,                0.41553,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.0406,                 1.4872,                 1.3692,                0.57979,                0.66667,                0.56669,                0.45346,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
